Date;Heure;UTC;Besoin en aFRR hausse exprimé par RTE à la plateforme PICASSO (en MW);Besoin en aFRR baisse exprimé par RTE à la plateforme PICASSO (en MW);Volume d'aFRR à la hausse activé pour la France par la plateforme PICASSO (en MW);Volume d'aFRR à la baisse activé pour la France par la plateforme PICASSO (en MW);Prix Moyen Pondéré d'aFRR activée à la hausse pour la France (en Euros/MWh);Prix Moyen Pondéré d'aFRR activée à la baisse pour la France (en Euros/MWh);Volume d'offres d'aFRR déposées et matchées à la hausse (en MW);Volume d'offres d'aFRR déposées et matchées à la baisse (en MW);Volume d'aFRR à la hausse activé en France par la plateforme (en MW);Volume d'aFRR à la baisse activé en France par la plateforme (en MW);Volume d'offres d'aFRR indisponibles à la hausse (en MW);Volume d'offres d'aFRR indisponibles à la baisse (en MW);Prix moyen Pondéré des offres d'aFRR déposées à la hausse (en Euros/MWh);Prix moyen Pondéré des offres d'aFRR déposées à la baisse (en Euros/MWh)
06/06/2024;18:30:00 - 18:45:00;UTC +02:00;32;146;0;179;-7.68;38.44;1194;1194;0;179;0;0;32.96;22.76
06/06/2024;18:45:00 - 19:00:00;UTC +02:00;797;0;414;5;35.66;0;1194;1194;414;5;0;0;33.20;23.10
06/06/2024;19:00:00 - 19:15:00;UTC +02:00;72;222;177;237;4.36;34.86;1184;1184;177;237;0;0;32.98;22.45
06/06/2024;19:15:00 - 19:30:00;UTC +02:00;276;12;16;70;-2.18;35.97;1154;1154;16;70;0;0;34.33;23.53
06/06/2024;19:30:00 - 19:45:00;UTC +02:00;522;0;19;3;5.32;63.74;1082;1082;19;3;0;0;38.22;26.69
06/06/2024;19:45:00 - 20:00:00;UTC +02:00;476;0;121;0;12.63;73.24;1012;1012;121;0;0;0;41.34;29.02
06/06/2024;20:00:00 - 20:15:00;UTC +02:00;614;3;61;5;12.59;73.16;1020;1020;61;5;0;0;40.55;28.43
06/06/2024;20:15:00 - 20:30:00;UTC +02:00;26;161;0;99;12.68;44.90;1020;1020;0;99;0;0;40.75;28.64
06/06/2024;20:30:00 - 20:45:00;UTC +02:00;3;233;0;209;12.68;39.38;950;950;0;209;0;0;42.82;29.81
06/06/2024;20:45:00 - 21:00:00;UTC +02:00;0;464;0;493;14.92;32.11;950;950;0;493;0;0;43.52;30.52
06/06/2024;21:00:00 - 21:15:00;UTC +02:00;595;10;275;79;37.73;28.20;875;875;275;79;0;0;40.79;27.12
